,Case 1,Case 2,P-value,Association
sq0001_3890000_3900000,8,0,0.007850313216069148,0.4366480030862637
sq0001_3900000_3910000,7,0,0.015826016947418548,0.4031478844100375
sq0001_6560000_6570000,13,0,0.00016962883216848132,0.5659999567638938
sq0001_6570000_6580000,9,0,0.003823034358582083,0.4669667243342232
sq0001_8160000_8170000,10,0,0.0018227351663913953,0.4946847389363815
sq0001_8550000_8560000,8,0,0.007850313216069148,0.4366480030862637
sq0001_16840000_16850000,7,0,0.015826016947418548,0.4031478844100375
sq0001_18430000_18440000,6,0,0.03142434652178249,0.36563621206356534
sq0001_19080000_19090000,12,0,0.0003848878012656882,0.5439149940775636
sq0001_22710000_22720000,6,0,0.03142434652178249,0.36563621206356534
sq0001_27100000_27110000,2,9,0.04530039018826326,0.3432777406143739
sq0001_29630000_29640000,3,12,0.017072661093788417,0.3992521028047597
sq0002_1490000_1500000,6,0,0.03142434652178249,0.36563621206356534
sq0002_1610000_1620000,7,0,0.015826016947418548,0.4031478844100375
sq0002_1630000_1640000,8,0,0.007850313216069148,0.4366480030862637
sq0002_3170000_3180000,7,0,0.015826016947418548,0.4031478844100375
sq0002_3180000_3190000,7,0,0.015826016947418548,0.4031478844100375
sq0002_3240000_3250000,9,0,0.003823034358582083,0.4669667243342232
sq0002_3890000_3900000,7,0,0.015826016947418548,0.4031478844100375
sq0002_4780000_4790000,8,0,0.007850313216069148,0.4366480030862637
sq0002_6030000_6040000,15,0,2.9930622223033853e-05,0.6061230833151466
sq0002_6120000_6130000,15,6,0.030362587204247712,0.36764612708745836
sq0002_10860000_10870000,6,0,0.03142434652178249,0.36563621206356534
sq0002_10960000_10970000,6,0,0.03142434652178249,0.36563621206356534
sq0002_11790000_11800000,7,0,0.015826016947418548,0.4031478844100375
sq0002_22000000_22010000,7,0,0.015826016947418548,0.4031478844100375
sq0002_26450000_26460000,13,0,0.00016962883216848132,0.5659999567638938
sq0002_26620000_26630000,9,0,0.003823034358582083,0.4669667243342232
sq0002_30150000_30160000,9,0,0.003823034358582083,0.4669667243342232
